Person ID	Career	Pronouns	LGBTQ	Nationality	Needs	Child
486348	Post doctorate or almost	Female	No	Spanish	No	
487917	Post doctorate or almost	Female	No	Portugese	NA	
491245	"Senior position, lecturers, researchers"	Male	No answer	Indian	NA	
486170	Post doctorate or almost	Male	No	Indian	NA	
498582	"Students (BSc, MSc, PhD)"	Male	No	Hong Kongers	no	
485567	Post doctorate or almost	Female	No	French	NA	
485195	Post doctorate or almost	Female	No	French	NA	
495003	Professor or associate	Female	No	Costa Rican	NA	
464496	"Students (BSc, MSc, PhD)"	Female	Yes	Dutch	NA	
486438	Post doctorate or almost	Female	No	British	No	
481745	"Students (BSc, MSc, PhD)"	Female	No	British	NA	
503451	"Students (BSc, MSc, PhD)"	Female	No	Thai	NA	
504208	"Students (BSc, MSc, PhD)"	Male	Yes	British	NA	
485283	"Senior position, lecturers, researchers"	Female	No answer	Italian	NA	
490033	"Senior position, lecturers, researchers"	Female	No	British	No	
487284	"Senior position, lecturers, researchers"	Male	No	NA	NA	
487278	Post doctorate or almost	No answer	No	French	NA	
486278	Professor or associate	Female	No	British	NA	
487253	"Students (BSc, MSc, PhD)"	Female	No answer	Italian	NA	
488122	Professor or associate	Female	No	British	NA	
505581	Post doctorate or almost	Female	Yes	Australian	NA	
487408	"Senior position, lecturers, researchers"	Male	No	German	NA	
487406	"Senior position, lecturers, researchers"	Female	No	German	NA	
506006	Post doctorate or almost	Female	No	Italian	NA	
487279	Post doctorate or almost	Female	No	Italian	NA	
504904	"Students (BSc, MSc, PhD)"	Female	Yes	Canadian	NA	
486722	Post doctorate or almost	Female	No	French	NA	
506008	Professor or associate	Female	No	British	NA	
504029	Professor or associate	Female	No	American	NA	
487397	Post doctorate or almost	Female	No	Mexican	No	
486680	"Senior position, lecturers, researchers"	Female	No	Croatian	NA	
485133	"Students (BSc, MSc, PhD)"	Female	Yes	Portugese	NA	
486788	"Senior position, lecturers, researchers"	Female	No answer	Italian	NA	
485988	"Students (BSc, MSc, PhD)"	Female	No	Sri Lankan	NA	
403319	Post doctorate or almost	Female	Yes	Portugese	NA	
486862	Professor or associate	Female	Yes	German	NA	
487305	"Students (BSc, MSc, PhD)"	Female	No answer	French	NA	
467331	"Senior position, lecturers, researchers"	Female	No	British	NA	
487251	Post doctorate or almost	Male	No	Belgian	NA	
506385	"Students (BSc, MSc, PhD)"	Female	No answer	NA	NA	
487237	"Students (BSc, MSc, PhD)"	Gender queer	Yes	Italian	NA	
478561	"Students (BSc, MSc, PhD)"	Female	No	Spanish	NA	
504281	"Students (BSc, MSc, PhD)"	Male	No	Dual nationality	NA	
487331	"Senior position, lecturers, researchers"	Female	No	Austrian	NA	
499047	"Students (BSc, MSc, PhD)"	Female	No	Belgian	NA	
487007	"Students (BSc, MSc, PhD)"	Female	No answer	Belgian	NA	
487391	"Students (BSc, MSc, PhD)"	Female	Yes	Dutch	NA	
493130	"Senior position, lecturers, researchers"	Male	No	German	no	
486989	"Students (BSc, MSc, PhD)"	Male	No	French	NA	
485989	"Students (BSc, MSc, PhD)"	Male	Yes	Sri Lankan	No	
482197	"Students (BSc, MSc, PhD)"	Female	No answer	Italian	NA	
502428	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
482537	"Students (BSc, MSc, PhD)"	Female	No	Indian	NA	
484873	Post doctorate or almost	Female	No	German	NA	
505048	Post doctorate or almost	Male	No	Brazilian	NA	
491691	"Students (BSc, MSc, PhD)"	Female	Yes	Portugese	NA	
487092	"Students (BSc, MSc, PhD)"	Male	No answer	NA	NA	
487270	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
503343	"Students (BSc, MSc, PhD)"	Female	No	NA	NA	
486572	"Senior position, lecturers, researchers"	Female	No	German	NA	
